zipcode,year,mentions
10466,2005,7
10475,2005,8
10466,2005,10
10471,2005,5
10471,2005,49
10463,2005,9
10463,2005,1
10470,2005,11
10467,2005,9
10467,2005,0
10469,2005,2
10461,2005,5
10464,2005,9
10458,2005,35
10453,2005,5
10453,2005,3
10458,2005,51
10460,2005,8
10460,2005,3
10452,2005,1
10456,2005,7
10454,2005,19
10454,2005,9
10455,2005,17
10474,2005,28
10459,2005,15
10473,2005,3
10473,2005,2
10465,2005,6
10465,2005,21
10462,2005,1
10461,2005,1
10462,2005,0
10461,2005,5
10458,2005,12
10463,2005,2
10471,2005,0
10461,2005,7
10465,2005,0
10465,2005,2
10473,2005,9
10467,2005,0
10469,2005,0
10456,2005,47
10472,2005,1
10466,2005,0
11209,2005,49
11214,2005,34
11220,2005,21
11222,2005,110
11223,2005,5
11235,2005,28
11235,2005,34
11230,2005,0
11230,2005,112
11213,2005,59
11203,2005,6
11218,2005,58
11215,2005,10
11238,2005,29
11212,2005,33
11211,2005,428
11221,2005,50
11221,2005,72
11201,2005,124
11201,2005,32
11231,2005,37
11231,2005,75
11215,2005,54
11205,2005,148
11215,2005,200
11208,2005,5
11208,2005,29
11239,2005,2
11236,2005,16
11234,2005,4
11234,2005,0
11235,2005,6
11224,2005,132
11214,2005,2
11219,2005,8
11228,2005,1
11229,2005,0
11234,2005,9
11205,2005,30
11224,2005,3
11201,2005,82
11217,2005,17
11225,2005,1
11233,2005,3
11208,2005,1
11234,2005,1
11230,2005,11
11226,2005,2
11234,2005,62
11208,2005,3
11206,2005,17
11211,2005,56
11211,2005,48
11251,2005,30
11230,2005,16
11209,2005,7
10002,2005,154
10033,2005,51
10034,2005,22
10031,2005,16
10027,2005,6
10030,2005,3
10029,2005,52
10075,2005,239
10128,2005,14
10021,2005,12
10044,2005,17
10024,2005,245
10023,2005,10
10018,2005,88
10036,2005,232
11354,2005,12
10314,2005,557
10012,2005,326
10009,2005,423
10002,2005,330
10013,2005,241
10013,2005,66
10012,2005,478
10014,2005,178
10025,2005,3
10027,2005,62
10010,2005,78
10280,2005,53
10005,2005,35
11103,2005,253
11377,2005,169
11372,2005,47
11373,2005,54
11414,2005,28
11368,2005,1
11375,2005,141
11415,2005,60
11418,2005,30
11354,2005,6
11101,2005,227
11104,2005,108
11369,2005,8
11378,2005,17
11385,2005,86
11385,2005,109
11374,2005,25
11421,2005,44
11417,2005,19
11420,2005,9
11356,2005,16
11357,2005,36
11361,2005,138
11358,2005,4
11363,2005,41
11363,2005,57
11004,2005,9
11426,2005,19
11367,2005,3
11365,2005,14
11435,2005,19
11432,2005,41
11364,2005,4
11428,2005,54
11423,2005,61
11433,2005,14
11412,2005,67
11434,2005,27
11413,2005,2
11411,2005,6
11422,2005,35
11691,2005,13
11693,2005,3
11697,2005,3
11105,2005,39
11357,2005,1
11360,2005,18
11691,2005,0
11692,2005,2
11694,2005,1
11694,2005,0
11354,2005,7
11004,2005,41
11423,2005,0
11432,2005,3
11355,2005,1
11432,2005,96
11106,2005,10
11414,2005,0
11422,2005,3
11368,2005,2
11694,2005,19
11694,2005,6
11692,2005,56
11413,2005,29
11427,2005,2
11368,2005,1
11375,2005,3
10301,2005,19
10301,2005,3
10304,2005,3
10305,2005,0
10310,2005,9
10304,2005,2
10304,2005,0
10305,2005,2
10310,2005,5
10303,2005,0
10303,2005,0
10314,2005,1
10314,2005,0
10314,2005,0
10306,2005,1
10306,2005,5
10308,2005,1
10312,2005,0
10312,2005,1
10309,2005,1
10307,2005,1
10301,2005,0
10301,2005,4
11104,2005,9
11226,2005,7
11203,2005,8
11203,2005,12
10304,2005,0
10314,2005,0
10314,2005,1
10303,2005,2
10305,2005,0
10305,2005,0
10304,2005,2
10305,2005,0
10306,2005,1
10306,2005,1
10306,2005,0
11360,2005,1
10312,2005,7
10309,2005,0
10309,2005,0
10309,2005,1
10309,2005,0
10312,2005,0
10312,2005,0
10314,2005,0
10314,2005,0
10314,2005,9
10314,2005,0
10128,2005,7
10009,2005,9
10007,2005,46
10001,2005,7
10306,2005,6
10305,2005,0
10304,2005,1
10304,2005,1
10301,2005,0
10301,2005,0
10303,2005,0
10302,2005,0
11236,2005,0
11207,2005,1
11236,2005,1
11234,2005,9
11432,2005,0
11365,2005,23
11365,2005,1
11370,2005,1
10456,2005,0
10451,2005,2
10452,2005,0
10453,2005,4
10022,2005,12
11101,2005,7
10017,2005,17
10016,2005,10
10009,2005,4
10011,2005,70
11104,2005,3
11101,2005,0
11201,2005,65
11201,2005,1
11213,2005,5
11233,2005,1
11201,2005,87
10314,2005,0
10314,2005,2
10309,2005,1
10306,2005,0
11697,2005,2
11229,2005,1
11379,2005,20
10309,2005,2
10306,2005,0
10309,2005,0
11357,2005,1
11207,2005,5
11229,2005,1
10466,2006,9
10475,2006,5
10466,2006,5
10471,2006,9
10471,2006,69
10463,2006,9
10463,2006,3
10470,2006,12
10467,2006,21
10467,2006,0
10469,2006,0
10461,2006,3
10464,2006,11
10458,2006,71
10453,2006,2
10453,2006,1
10458,2006,84
10460,2006,9
10460,2006,2
10452,2006,0
10456,2006,13
10454,2006,24
10454,2006,6
10455,2006,27
10474,2006,14
10459,2006,11
10473,2006,7
10473,2006,0
10465,2006,7
10465,2006,32
10462,2006,1
10461,2006,0
10462,2006,0
10461,2006,8
10458,2006,19
10463,2006,2
10471,2006,0
10461,2006,10
10465,2006,0
10465,2006,0
10473,2006,0
10467,2006,0
10469,2006,0
10456,2006,73
10472,2006,0
10466,2006,0
11209,2006,44
11214,2006,21
11220,2006,20
11222,2006,107
11223,2006,4
11235,2006,21
11235,2006,24
11230,2006,0
11230,2006,115
11213,2006,64
11203,2006,12
11218,2006,51
11215,2006,7
11238,2006,22
11212,2006,35
11211,2006,345
11221,2006,46
11221,2006,111
11201,2006,110
11201,2006,27
11231,2006,38
11231,2006,89
11215,2006,64
11205,2006,139
11215,2006,177
11208,2006,7
11208,2006,18
11239,2006,8
11236,2006,12
11234,2006,5
11234,2006,1
11235,2006,8
11224,2006,132
11214,2006,0
11219,2006,7
11228,2006,1
11229,2006,4
11234,2006,10
11205,2006,48
11224,2006,0
11201,2006,110
11217,2006,41
11225,2006,3
11233,2006,1
11208,2006,4
11234,2006,1
11230,2006,13
11226,2006,3
11234,2006,48
11208,2006,1
11206,2006,18
11211,2006,79
11211,2006,29
11251,2006,21
11230,2006,7
11209,2006,3
10002,2006,143
10033,2006,38
10034,2006,24
10031,2006,27
10027,2006,4
10030,2006,10
10029,2006,31
10075,2006,193
10128,2006,14
10021,2006,3
10044,2006,13
10024,2006,194
10023,2006,13
10018,2006,104
10036,2006,245
11354,2006,14
10314,2006,477
10012,2006,300
10009,2006,351
10002,2006,308
10013,2006,269
10013,2006,65
10012,2006,434
10014,2006,178
10025,2006,0
10027,2006,52
10010,2006,88
10280,2006,53
10005,2006,54
11103,2006,217
11377,2006,116
11372,2006,30
11373,2006,32
11414,2006,20
11368,2006,0
11375,2006,43
11415,2006,42
11418,2006,34
11354,2006,1
11101,2006,148
11104,2006,68
11369,2006,3
11378,2006,3
11385,2006,60
11385,2006,72
11374,2006,14
11421,2006,16
11417,2006,16
11420,2006,7
11356,2006,10
11357,2006,47
11361,2006,99
11358,2006,6
11363,2006,18
11363,2006,11
11004,2006,3
11426,2006,5
11367,2006,2
11365,2006,14
11435,2006,5
11432,2006,3
11364,2006,1
11428,2006,26
11423,2006,55
11433,2006,7
11412,2006,43
11434,2006,17
11413,2006,5
11411,2006,4
11422,2006,50
11691,2006,12
11693,2006,6
11697,2006,7
11105,2006,36
11357,2006,0
11360,2006,0
11691,2006,0
11692,2006,0
11694,2006,1
11694,2006,2
11354,2006,9
11004,2006,11
11423,2006,0
11432,2006,0
11355,2006,2
11432,2006,104
11106,2006,12
11414,2006,3
11422,2006,10
11368,2006,1
11694,2006,17
11694,2006,7
11692,2006,43
11413,2006,28
11427,2006,4
11368,2006,0
11375,2006,0
10301,2006,16
10301,2006,3
10304,2006,8
10305,2006,1
10310,2006,9
10304,2006,1
10304,2006,2
10305,2006,7
10310,2006,1
10303,2006,0
10303,2006,1
10314,2006,0
10314,2006,1
10314,2006,2
10306,2006,1
10306,2006,2
10308,2006,8
10312,2006,0
10312,2006,0
10309,2006,3
10307,2006,3
10301,2006,1
10301,2006,0
11104,2006,6
11226,2006,2
11203,2006,7
11203,2006,3
10304,2006,0
10314,2006,1
10314,2006,1
10303,2006,1
10305,2006,1
10305,2006,0
10304,2006,3
10305,2006,0
10306,2006,2
10306,2006,2
10306,2006,0
11360,2006,0
10312,2006,1
10309,2006,2
10309,2006,0
10309,2006,1
10309,2006,0
10312,2006,0
10312,2006,0
10314,2006,0
10314,2006,0
10314,2006,5
10314,2006,1
10128,2006,2
10009,2006,13
10007,2006,34
10001,2006,7
10306,2006,20
10305,2006,3
10304,2006,1
10304,2006,1
10301,2006,0
10301,2006,1
10303,2006,0
10302,2006,0
11236,2006,0
11207,2006,1
11236,2006,0
11234,2006,8
11432,2006,0
11365,2006,17
11365,2006,0
11370,2006,0
10456,2006,0
10451,2006,0
10452,2006,0
10453,2006,4
10022,2006,15
11101,2006,3
10017,2006,6
10016,2006,5
10009,2006,7
10011,2006,91
11104,2006,0
11101,2006,0
11201,2006,57
11201,2006,3
11213,2006,18
11233,2006,1
11201,2006,97
10314,2006,0
10314,2006,2
10309,2006,0
10306,2006,2
11697,2006,4
11229,2006,0
11379,2006,12
10309,2006,0
10306,2006,2
10309,2006,0
11357,2006,0
11207,2006,5
11229,2006,1
10466,2007,10
10475,2007,3
10466,2007,8
10471,2007,2
10471,2007,76
10463,2007,11
10463,2007,3
10470,2007,12
10467,2007,8
10467,2007,1
10469,2007,4
10461,2007,1
10464,2007,6
10458,2007,68
10453,2007,2
10453,2007,3
10458,2007,111
10460,2007,9
10460,2007,7
10452,2007,4
10456,2007,12
10454,2007,16
10454,2007,0
10455,2007,24
10474,2007,16
10459,2007,19
10473,2007,10
10473,2007,0
10465,2007,8
10465,2007,39
10462,2007,1
10461,2007,0
10462,2007,0
10461,2007,4
10458,2007,12
10463,2007,1
10471,2007,0
10461,2007,13
10465,2007,0
10465,2007,0
10473,2007,6
10467,2007,0
10469,2007,1
10456,2007,69
10472,2007,2
10466,2007,0
11209,2007,38
11214,2007,18
11220,2007,30
11222,2007,135
11223,2007,8
11235,2007,42
11235,2007,25
11230,2007,0
11230,2007,135
11213,2007,85
11203,2007,13
11218,2007,57
11215,2007,9
11238,2007,37
11212,2007,29
11211,2007,504
11221,2007,89
11221,2007,104
11201,2007,147
11201,2007,37
11231,2007,40
11231,2007,122
11215,2007,67
11205,2007,202
11215,2007,186
11208,2007,20
11208,2007,29
11239,2007,7
11236,2007,13
11234,2007,7
11234,2007,0
11235,2007,19
11224,2007,186
11214,2007,1
11219,2007,6
11228,2007,4
11229,2007,0
11234,2007,14
11205,2007,55
11224,2007,0
11201,2007,105
11217,2007,22
11225,2007,2
11233,2007,7
11208,2007,4
11234,2007,1
11230,2007,11
11226,2007,5
11234,2007,68
11208,2007,6
11206,2007,20
11211,2007,103
11211,2007,44
11251,2007,33
11230,2007,9
11209,2007,5
10002,2007,160
10033,2007,117
10034,2007,36
10031,2007,25
10027,2007,6
10030,2007,6
10029,2007,64
10075,2007,273
10128,2007,22
10021,2007,4
10044,2007,24
10024,2007,241
10023,2007,14
10018,2007,154
10036,2007,352
11354,2007,12
10314,2007,766
10012,2007,396
10009,2007,450
10002,2007,436
10013,2007,295
10013,2007,60
10012,2007,605
10014,2007,239
10025,2007,1
10027,2007,79
10010,2007,115
10280,2007,45
10005,2007,47
11103,2007,289
11377,2007,112
11372,2007,39
11373,2007,39
11414,2007,5
11368,2007,0
11375,2007,51
11415,2007,30
11418,2007,30
11354,2007,2
11101,2007,214
11104,2007,81
11369,2007,6
11378,2007,7
11385,2007,57
11385,2007,74
11374,2007,13
11421,2007,10
11417,2007,17
11420,2007,12
11356,2007,14
11357,2007,56
11361,2007,96
11358,2007,7
11363,2007,34
11363,2007,19
11004,2007,10
11426,2007,3
11367,2007,0
11365,2007,8
11435,2007,7
11432,2007,9
11364,2007,0
11428,2007,29
11423,2007,48
11433,2007,19
11412,2007,64
11434,2007,13
11413,2007,4
11411,2007,6
11422,2007,43
11691,2007,34
11693,2007,4
11697,2007,7
11105,2007,47
11357,2007,0
11360,2007,0
11691,2007,2
11692,2007,1
11694,2007,0
11694,2007,1
11354,2007,10
11004,2007,13
11423,2007,0
11432,2007,5
11355,2007,0
11432,2007,89
11106,2007,11
11414,2007,3
11422,2007,11
11368,2007,4
11694,2007,2
11694,2007,5
11692,2007,63
11413,2007,37
11427,2007,4
11368,2007,0
11375,2007,3
10301,2007,25
10301,2007,2
10304,2007,8
10305,2007,1
10310,2007,12
10304,2007,3
10304,2007,0
10305,2007,4
10310,2007,6
10303,2007,0
10303,2007,0
10314,2007,0
10314,2007,0
10314,2007,2
10306,2007,3
10306,2007,3
10308,2007,7
10312,2007,0
10312,2007,1
10309,2007,13
10307,2007,1
10301,2007,4
10301,2007,0
11104,2007,4
11226,2007,7
11203,2007,18
11203,2007,3
10304,2007,4
10314,2007,3
10314,2007,1
10303,2007,0
10305,2007,0
10305,2007,0
10304,2007,0
10305,2007,1
10306,2007,2
10306,2007,0
10306,2007,0
11360,2007,1
10312,2007,2
10309,2007,2
10309,2007,0
10309,2007,0
10309,2007,1
10312,2007,0
10312,2007,0
10314,2007,0
10314,2007,0
10314,2007,7
10314,2007,0
10128,2007,10
10009,2007,16
10007,2007,38
10001,2007,9
10306,2007,15
10305,2007,0
10304,2007,1
10304,2007,0
10301,2007,0
10301,2007,0
10303,2007,0
10302,2007,0
11236,2007,0
11207,2007,1
11236,2007,0
11234,2007,1
11432,2007,0
11365,2007,23
11365,2007,1
11370,2007,0
10456,2007,0
10451,2007,0
10452,2007,2
10453,2007,4
10022,2007,12
11101,2007,5
10017,2007,3
10016,2007,2
10009,2007,6
10011,2007,83
11104,2007,3
11101,2007,2
11201,2007,67
11201,2007,3
11213,2007,4
11233,2007,5
11201,2007,127
10314,2007,0
10314,2007,15
10309,2007,0
10306,2007,0
11697,2007,3
11229,2007,0
11379,2007,7
10309,2007,0
10306,2007,0
10309,2007,0
11357,2007,1
11207,2007,4
11229,2007,0
10466,2008,13
10475,2008,6
10466,2008,5
10471,2008,6
10471,2008,49
10463,2008,22
10463,2008,6
10470,2008,15
10467,2008,5
10467,2008,2
10469,2008,9
10461,2008,1
10464,2008,11
10458,2008,66
10453,2008,0
10453,2008,3
10458,2008,98
10460,2008,3
10460,2008,1
10452,2008,5
10456,2008,13
10454,2008,32
10454,2008,0
10455,2008,18
10474,2008,33
10459,2008,50
10473,2008,4
10473,2008,0
10465,2008,2
10465,2008,41
10462,2008,4
10461,2008,1
10462,2008,0
10461,2008,4
10458,2008,17
10463,2008,2
10471,2008,0
10461,2008,19
10465,2008,2
10465,2008,0
10473,2008,2
10467,2008,4
10469,2008,0
10456,2008,94
10472,2008,0
10466,2008,2
11209,2008,30
11214,2008,9
11220,2008,39
11222,2008,101
11223,2008,5
11235,2008,20
11235,2008,12
11230,2008,0
11230,2008,131
11213,2008,64
11203,2008,12
11218,2008,55
11215,2008,8
11238,2008,46
11212,2008,37
11211,2008,465
11221,2008,85
11221,2008,61
11201,2008,197
11201,2008,48
11231,2008,40
11231,2008,99
11215,2008,72
11205,2008,235
11215,2008,251
11208,2008,10
11208,2008,33
11239,2008,3
11236,2008,13
11234,2008,4
11234,2008,0
11235,2008,16
11224,2008,126
11214,2008,2
11219,2008,13
11228,2008,3
11229,2008,0
11234,2008,6
11205,2008,56
11224,2008,0
11201,2008,98
11217,2008,38
11225,2008,7
11233,2008,2
11208,2008,5
11234,2008,1
11230,2008,18
11226,2008,6
