name,source_zipcode,wkt,longitude,latitude,Name,,query,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,stacked,annoline1,annoline2,annoline3,annoangle,borough,source_bldgzip,source_po_0me,source_population,source_area,source_state,source_county,source_st_fips,source_cty_fips,source_url,source_shape_area,source_shape_len
Fieldston,10471,0101000020E6100000F7D45C0CF67952C0511590B19D724440,-73.84720052,40.89470518,Wakefield,10466,Wakefield and Bronx and artist,7,9,10,13,13,8,11,6,9,17,17,1,Fieldston,,,0,Bronx,0,Bronx,23477,89651407.06,NY,Bronx,36,5,http://www.usps.com/,0,0
Riverdale,10471,0101000020E6100000C88AD9CC677A52C0BDB45CDD06724440,-73.82993911,40.87429419,Co-op City,10475,"""Co-op City"" and Bronx and artist",8,5,3,6,4,6,9,5,5,6,12,1,Riverdale,,,0,Bronx,0,Bronx,23477,89651407.06,NY,Bronx,36,5,http://www.usps.com/,0,0
North Riverdale,10471,0101000020E610000096A419D4E37952C090DFA5214B744440,-73.82780645,40.88755568,Eastchester,10466,Eastchester and Bronx and artist,10,5,8,5,2,12,3,8,2,18,8,2,North,Riverdale,,0,Bronx,0,Bronx,23477,89651407.06,NY,Bronx,36,5,http://www.usps.com/,0,0
Kingsbridge,10463,0101000020E61000009B5D18C5C77952C0B74FBC21DB704440,-73.9056426,40.89543743,Fieldston,10471,Fieldston and Bronx and artist,5,9,2,6,1,4,14,10,3,0,0,1,Kingsbridge,,,0,Bronx,0,Bronx,70641,36703381.51,NY,Bronx,36,5,http://www.usps.com/,0,0
Spuyten Duyvil,10463,0101000020E6100000B535B53FB37A52C05C1EF58CD1704440,-73.91258546,40.89083449,Riverdale,10471,Riverdale and Bronx and artist,49,69,76,49,74,46,109,121,106,103,108,2,Spuyten,Duyvil,,0,Bronx,0,Bronx,70641,36703381.51,NY,Bronx,36,5,http://www.usps.com/,0,0
Co-op City,10475,0101000020E61000001CC4EBB81D7552C0D81243DFE86F4440,-73.90281799,40.88168737,Kingsbridge,10463,Kingsbridge and Bronx and artist,9,9,11,22,19,10,25,28,20,27,22,2,Co-op,City,,0,Bronx,0,Bronx,40931,38633296.93,NY,Bronx,36,5,http://www.usps.com/,0,0
Greenpoint,11222,0101000020E6100000E4148E48127D52C023C0D239775D4440,-73.91065966,40.87655078,Marble Hill,10463,"""Marble Hill"" and Manhattan and artist",1,3,3,6,1,1,3,1,3,2,4,1,Greenpoint,,,0,Brooklyn,0,Brooklyn,36315,42825293.24,NY,Kings,36,47,http://www.usps.com/,0,0
Ridgewood,11385,0101000020E610000084A9291DB17952C0B44E4B55AA5A4440,-73.86731497,40.89827261,Woodlawn,10470,Woodlawn and Bronx and artist,11,12,12,15,14,27,13,12,21,22,17,1,Ridgewood,,,0,Queens,0,Ridgewood,98436,124786310.9,NY,Queens,36,81,http://www.usps.com/,0,0
Glendale,11385,0101000020E6100000EEA7493BBA7752C0C4298A1EF4594440,-73.87939074,40.87722416,Norwood,10467,Norwood and Bronx and artist,9,21,8,5,17,16,16,13,9,4,14,1,Glendale,,,0,Queens,0,Ridgewood,98436,124786310.9,NY,Queens,36,81,http://www.usps.com/,0,0
Brooklyn Heights,11201,0101000020E6100000AE1AE3209A7F52C056C9FD0F12594440,-73.85744643,40.88103888,Williamsbridge,10467,Williamsbridge and Bronx and artist,0,0,1,2,0,2,7,3,1,5,4,2,Brooklyn,Heights,,0,Brooklyn,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,0,0
Cobble Hill,11201,0101000020E6100000D19E0A6EE87F52C0AF2CE3C00D584440,-73.8357976,40.86685811,Baychester,10469,Baychester and Bronx and artist,2,0,4,9,1,3,1,4,0,2,2,2,Cobble,Hill,,0,Brooklyn,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,0,0
Downtown,11201,0101000020E6100000B55E5D10F17E52C06CA0AE936D584440,-73.85475564,40.8574135,Pelham Parkway,10461,"""Pelham Parkway"" and Bronx and artist",5,3,1,1,2,2,1,4,2,4,2,2,Down-,town,,0,Brooklyn,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,0,0
Vinegar Hill,11201,0101000020E6100000FCF7E99ACA7E52C08C055A70065A4440,-73.78648845,40.8472467,City Island,10464,"""City Island"" and Bronx and artist",9,11,6,11,9,74,10,39,19,38,6,2,Vinegar,Hill,,0,Brooklyn,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,0,0
Dumbo,11201,0101000020E6100000FDF4DAB9477F52C0308792AE015A4440,-73.88551218,40.87018516,Bedford Park,10458,"""Bedford Park"" and Bronx and artist",35,71,68,66,57,33,45,83,44,36,61,1,Dumbo,,,0,Brooklyn,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,0,0
Cypress Hills,11208,0101000020E610000087DFD19E0D7852C050454C25A2574440,-73.91041596,40.85572708,University Heights,10453,"""University Heights"" and Bronx and artist",5,2,2,0,2,1,4,12,5,8,4,2,Cypress,Hills,,0,Brooklyn,0,Brooklyn,94410,79303684.26,NY,Kings,36,47,http://www.usps.com/,0,0
East New York,11208,0101000020E61000008138D35D5D7852C0ADF11720C0554440,-73.91967159,40.84789793,Morris Heights,10453,"""Morris Heights"" and Bronx and artist",3,1,3,3,3,4,2,2,2,1,3,1,East New York,,,0,Brooklyn,0,Brooklyn,94410,79303684.26,NY,Kings,36,47,http://www.usps.com/,0,0
City Line,11208,0101000020E6100000A9D320EB8C7752C091455F61DB564440,-73.89642656,40.8609968,Fordham,10458,Fordham and Bronx and artist,51,84,111,98,76,96,68,163,84,111,95,2,City,Line,,0,Brooklyn,0,Brooklyn,94410,79303684.26,NY,Kings,36,47,http://www.usps.com/,0,0
Spring Creek,11208,0101000020E6100000E9A245E1AD7752C088EBCA231D544440,-73.88735618,40.84269616,East Tremont,10460,"""East Tremont"" and Bronx and artist",8,9,9,3,6,7,5,7,3,11,9,2,Spring,Creek,,0,Brooklyn,0,Brooklyn,94410,79303684.26,NY,Kings,36,47,http://www.usps.com/,0,0
Carroll Gardens,11231,0101000020E610000098D6631B068052C0FC31FE1850574440,-73.87774475,40.83947506,West Farms,10460,"""West Farms"" and Bronx and artist",3,2,7,1,1,4,3,6,5,8,2,2,Carroll,Gardens,,0,Brooklyn,0,Brooklyn,33144,39379691.79,NY,Kings,36,47,http://www.usps.com/,0,0
Red Hook,11231,0101000020E610000018CE040BD18052C0FCDE41778F564440,-73.92610209,40.83662301,High  Bridge,10452,"""High  Bridge"" and Bronx and artist",1,0,4,5,0,1,1,1,3,5,6,2,Red,Hook,,0,Brooklyn,0,Brooklyn,33144,39379691.79,NY,Kings,36,47,http://www.usps.com/,0,0
Inwood,10034,0101000020E610000018D98E1CF57A52C0D264A544106F4440,-73.90942161,40.81975437,Melrose,10456,Melrose and Bronx and artist,7,13,12,13,10,13,6,13,23,15,24,1,Inwood,,,0,Manhattan,0,New York,39149,24503892.12,NY,New York,36,61,http://www.usps.com/,0,0
Bayside,11361,0101000020E61000001C7DFCB28D7152C01DAA949E0D624440,-73.91609987,40.80623875,Mott Haven,10454,"""Mott Haven"" and Bronx and artist",19,24,16,32,17,19,27,28,34,21,38,1,Bayside,,,0,Queens,0,Bayside,28496,50163518.24,NY,Queens,36,81,http://www.usps.com/,0,0
Long Island City,11101,0101000020E61000001460B5E31B7C52C007353B1F07604440,-73.91322139,40.80166363,Port Morris,10454,"""Port Morris"" and Bronx and artist",9,6,0,0,1,2,3,3,2,2,29,3,Long,Island,City,0,Queens,0,Long Island City,26254,78962088.74,NY,Queens,36,81,http://www.usps.com/,0,0
Hunters Point,11101,0101000020E61000003F4E9E2B0C7D52C035206231285F4440,-73.8957882,40.81509905,Longwood,10455,Longwood and Bronx and artist,17,27,24,18,12,17,39,35,35,39,37,2,Hunters,Point,,0,Queens,0,Long Island City,26254,78962088.74,NY,Queens,36,81,http://www.usps.com/,0,0
Blissville,11101,0101000020E61000002375B022AD7B52C09E1D433B5E5E4440,-73.88331506,40.80972988,Hunts Point,10474,Hunts Point and Bronx and artist,28,14,16,33,10,16,42,41,33,21,19,1,Blissville,,,0,Queens,0,Long Island City,26254,78962088.74,NY,Queens,36,81,http://www.usps.com/,0,0
Chinatown,10002,0101000020E61000001152E845A27F52C0AE206C62995B4440,-73.90150649,40.82359199,Morrisania,10459,Morrisania and Bronx and artist,15,11,19,50,23,20,22,38,45,39,29,1,Chi0town,,,0,Manhattan,0,New York,81305,26280128.54,NY,New York,36,61,http://www.usps.com/,0,0
Lower East Side,10002,0101000020E61000004D5531E8C67E52C00BBF6F17E15B4440,-73.8657461,40.8210122,Soundview,10473,Soundview and Bronx and artist,3,7,10,4,5,3,22,10,7,15,14,3,Lower,East,Side,0,Manhattan,0,New York,81305,26280128.54,NY,New York,36,61,http://www.usps.com/,0,0
Maspeth,11378,0101000020E6100000E1981E9F5B7952C07DADDFCDDA5C4440,-73.85414416,40.80655112,Clason Point,10473,Clason Point and Bronx and artist,2,0,0,0,1,0,2,0,0,0,0,1,Maspeth,,,0,Queens,0,Maspeth,35473,66260538.74,NY,Queens,36,81,http://www.usps.com/,0,0
Financial District,10005,0101000020E6100000B6981EBEAE8052C07E3F567C825A4440,-73.81635002,40.81510926,Throgs Neck,10465,Throgs Neck and Bronx and artist,6,7,8,2,5,2,6,6,5,12,3,2,Fi0ncial,District,,0,Manhattan,0,New York,8107,2082901.141,NY,New York,36,61,http://www.usps.com/,0,0
Starrett City,11239,0101000020E61000001824DA97477852C0F974B432E4524440,-73.82409927,40.84424594,Country Club,10465,Country Club and Bronx and artist,21,32,39,41,32,25,25,20,33,28,54,2,Starrett,City,,0,Brooklyn,0,Brooklyn,12562,41794660.77,NY,Kings,36,47,http://www.usps.com/,0,0
