zipcode,year,mentions
10001,2005,7
10002,2005,484
10005,2005,35
10007,2005,46
10009,2005,436
10010,2005,78
10011,2005,627
10012,2005,804
10013,2005,307
10014,2005,178
10016,2005,10
10017,2005,17
10018,2005,88
10021,2005,12
10022,2005,12
10023,2005,10
10024,2005,245
10025,2005,3
10027,2005,68
10029,2005,52
10030,2005,3
10031,2005,16
10033,2005,51
10034,2005,22
10036,2005,232
10044,2005,17
10075,2005,239
10128,2005,21
10280,2005,53
10301,2005,26
10302,2005,0
10303,2005,2
10304,2005,9
10305,2005,2
10306,2005,14
10307,2005,1
10308,2005,1
10309,2005,5
10310,2005,14
10312,2005,8
10314,2005,13
10451,2005,2
10452,2005,1
10453,2005,12
10454,2005,28
10455,2005,17
10456,2005,54
10458,2005,98
10459,2005,15
10460,2005,11
10461,2005,18
10462,2005,1
10463,2005,12
10464,2005,9
10465,2005,29
10466,2005,17
10467,2005,9
10469,2005,2
10470,2005,11
10471,2005,54
10472,2005,1
10473,2005,14
10474,2005,28
10475,2005,8
11004,2005,50
11101,2005,234
11103,2005,253
11104,2005,120
11105,2005,39
11106,2005,10
11201,2005,391
11203,2005,26
11205,2005,178
11206,2005,17
11207,2005,6
11208,2005,38
11209,2005,56
11211,2005,532
11212,2005,33
11213,2005,64
11214,2005,36
11215,2005,264
11217,2005,17
11218,2005,58
11219,2005,8
11220,2005,21
11221,2005,122
11222,2005,110
11223,2005,5
11224,2005,135
11225,2005,1
11226,2005,9
11228,2005,1
11229,2005,2
11230,2005,139
11231,2005,112
11233,2005,4
11234,2005,85
11235,2005,68
11236,2005,17
11238,2005,29
11239,2005,2
11251,2005,30
11354,2005,25
11355,2005,1
11356,2005,16
11357,2005,38
11358,2005,4
11360,2005,19
11361,2005,138
11363,2005,98
11364,2005,4
11365,2005,38
11367,2005,3
11368,2005,4
11369,2005,8
11370,2005,1
11372,2005,47
11373,2005,54
11374,2005,25
11375,2005,144
11377,2005,169
11378,2005,17
11379,2005,20
11385,2005,195
11411,2005,6
11412,2005,67
11413,2005,31
11414,2005,28
11415,2005,60
11417,2005,19
11418,2005,30
11420,2005,9
11421,2005,44
11422,2005,38
11423,2005,61
11426,2005,19
11427,2005,2
11428,2005,54
11432,2005,140
11433,2005,14
11434,2005,27
11435,2005,19
11691,2005,13
11692,2005,58
11693,2005,3
11694,2005,26
11697,2005,5
10001,2006,7
10002,2006,451
10005,2006,54
10007,2006,34
10009,2006,371
10010,2006,88
10011,2006,568
10012,2006,734
10013,2006,334
10014,2006,178
10016,2006,5
10017,2006,6
10018,2006,104
10021,2006,3
10022,2006,15
10023,2006,13
10024,2006,194
10025,2006,0
10027,2006,56
10029,2006,31
10030,2006,10
10031,2006,27
10033,2006,38
10034,2006,24
10036,2006,245
10044,2006,13
10075,2006,193
10128,2006,16
10280,2006,53
10301,2006,21
10302,2006,0
10303,2006,2
10304,2006,16
10305,2006,12
10306,2006,31
10307,2006,3
10308,2006,8
10309,2006,6
10310,2006,10
10312,2006,1
10314,2006,13
10451,2006,0
10452,2006,0
10453,2006,7
10454,2006,30
10455,2006,27
10456,2006,86
10458,2006,174
10459,2006,11
10460,2006,11
10461,2006,21
10462,2006,1
10463,2006,14
10464,2006,11
10465,2006,39
10466,2006,14
10467,2006,21
10469,2006,0
10470,2006,12
10471,2006,78
10472,2006,0
10473,2006,7
10474,2006,14
10475,2006,5
11004,2006,14
11101,2006,151
11103,2006,217
11104,2006,74
11105,2006,36
11106,2006,12
11201,2006,404
11203,2006,22
11205,2006,187
11206,2006,18
11207,2006,6
11208,2006,30
11209,2006,47
11211,2006,453
11212,2006,35
11213,2006,82
11214,2006,21
11215,2006,248
11217,2006,41
11218,2006,51
11219,2006,7
11220,2006,20
11221,2006,157
11222,2006,107
11223,2006,4
11224,2006,132
11225,2006,3
11226,2006,5
11228,2006,1
11229,2006,5
11230,2006,135
11231,2006,127
11233,2006,2
11234,2006,73
11235,2006,53
11236,2006,12
11238,2006,22
11239,2006,8
11251,2006,21
11354,2006,24
11355,2006,2
11356,2006,10
11357,2006,47
11358,2006,6
11360,2006,0
11361,2006,99
11363,2006,29
11364,2006,1
11365,2006,31
11367,2006,2
11368,2006,1
11369,2006,3
11370,2006,0
11372,2006,30
11373,2006,32
11374,2006,14
11375,2006,43
11377,2006,116
11378,2006,3
11379,2006,12
11385,2006,132
11411,2006,4
11412,2006,43
11413,2006,33
11414,2006,23
11415,2006,42
11417,2006,16
11418,2006,34
11420,2006,7
11421,2006,16
11422,2006,60
11423,2006,55
11426,2006,5
11427,2006,4
11428,2006,26
11432,2006,107
11433,2006,7
11434,2006,17
11435,2006,5
11691,2006,12
11692,2006,43
11693,2006,6
